# Run(50) parameters:
	n_epochs=50,
	lr=0.001,
	lr_decay=0.8,
	weight_decay=0.0005,
	cv_layers=[2, 3, 4, 5],
{'fold': 9, 'epoch': 10, 'train_loss': 1.9289528131484985, 'val_loss': 1.9293382167816162, 'test_acc': 0.1428571492433548}
{'fold': 9, 'epoch': 20, 'train_loss': 1.9091100692749023, 'val_loss': 1.8995147943496704, 'test_acc': 0.20408163964748383}
{'fold': 9, 'epoch': 30, 'train_loss': 1.8628212213516235, 'val_loss': 1.8537782430648804, 'test_acc': 0.44897958636283875}
{'fold': 9, 'epoch': 40, 'train_loss': 1.792832851409912, 'val_loss': 1.7819302082061768, 'test_acc': 0.40816327929496765}
{'fold': 9, 'epoch': 50, 'train_loss': 1.698340654373169, 'val_loss': 1.679577112197876, 'test_acc': 0.40816327929496765}
Val Loss: 1.7155, Test Accuracy: 0.402 +/- 0.105, Duration: 2.488
Model(0) results: accuracy=0.402, std=0.105, n_layers=2, n_hidden=16
Best Model(0) results: accuracy=0.402, std=0.105, n_layers=2, n_hidden=16

# Evaluating model(1): n_layers=2, n_hidden=32
{'fold': 0, 'epoch': 10, 'train_loss': 1.9067293405532837, 'val_loss': 1.9010616540908813, 'test_acc': 0.3199999928474426}
{'fold': 0, 'epoch': 20, 'train_loss': 1.848015546798706, 'val_loss': 1.8406387567520142, 'test_acc': 0.2800000011920929}
{'fold': 0, 'epoch': 30, 'train_loss': 1.7435495853424072, 'val_loss': 1.7385488748550415, 'test_acc': 0.30000001192092896}
{'fold': 0, 'epoch': 40, 'train_loss': 1.5994088649749756, 'val_loss': 1.5948938131332397, 'test_acc': 0.3199999928474426}
{'fold': 0, 'epoch': 50, 'train_loss': 1.4067718982696533, 'val_loss': 1.421459436416626, 'test_acc': 0.3400000035762787}
{'fold': 1, 'epoch': 10, 'train_loss': 1.916971206665039, 'val_loss': 1.9195064306259155, 'test_acc': 0.25999999046325684}
{'fold': 1, 'epoch': 20, 'train_loss': 1.8614171743392944, 'val_loss': 1.8703551292419434, 'test_acc': 0.3199999928474426}
{'fold': 1, 'epoch': 30, 'train_loss': 1.7546535730361938, 'val_loss': 1.7870635986328125, 'test_acc': 0.3199999928474426}
{'fold': 1, 'epoch': 40, 'train_loss': 1.5842698812484741, 'val_loss': 1.6773089170455933, 'test_acc': 0.3199999928474426}
{'fold': 1, 'epoch': 50, 'train_loss': 1.4101799726486206, 'val_loss': 1.5497922897338867, 'test_acc': 0.46000000834465027}
{'fold': 2, 'epoch': 10, 'train_loss': 1.912313461303711, 'val_loss': 1.916325330734253, 'test_acc': 0.1599999964237213}
{'fold': 2, 'epoch': 20, 'train_loss': 1.8665708303451538, 'val_loss': 1.8739275932312012, 'test_acc': 0.36000001430511475}
{'fold': 2, 'epoch': 30, 'train_loss': 1.7885175943374634, 'val_loss': 1.7916977405548096, 'test_acc': 0.2800000011920929}
{'fold': 2, 'epoch': 40, 'train_loss': 1.6325364112854004, 'val_loss': 1.664465069770813, 'test_acc': 0.3199999928474426}
{'fold': 2, 'epoch': 50, 'train_loss': 1.4646832942962646, 'val_loss': 1.4945244789123535, 'test_acc': 0.4000000059604645}
{'fold': 3, 'epoch': 10, 'train_loss': 1.9477533102035522, 'val_loss': 1.9450700283050537, 'test_acc': 0.07999999821186066}
{'fold': 3, 'epoch': 20, 'train_loss': 1.891068696975708, 'val_loss': 1.8883723020553589, 'test_acc': 0.3400000035762787}
{'fold': 3, 'epoch': 30, 'train_loss': 1.7921311855316162, 'val_loss': 1.7863340377807617, 'test_acc': 0.4000000059604645}
{'fold': 3, 'epoch': 40, 'train_loss': 1.659993290901184, 'val_loss': 1.620073676109314, 'test_acc': 0.4399999976158142}
{'fold': 3, 'epoch': 50, 'train_loss': 1.4444447755813599, 'val_loss': 1.413447618484497, 'test_acc': 0.5}
{'fold': 4, 'epoch': 10, 'train_loss': 1.923388957977295, 'val_loss': 1.9290716648101807, 'test_acc': 0.20000000298023224}
{'fold': 4, 'epoch': 20, 'train_loss': 1.8887653350830078, 'val_loss': 1.898476004600525, 'test_acc': 0.3400000035762787}
{'fold': 4, 'epoch': 30, 'train_loss': 1.8221460580825806, 'val_loss': 1.8379502296447754, 'test_acc': 0.46000000834465027}
{'fold': 4, 'epoch': 40, 'train_loss': 1.67231023311615, 'val_loss': 1.7179545164108276, 'test_acc': 0.6200000047683716}
{'fold': 4, 'epoch': 50, 'train_loss': 1.46434485912323, 'val_loss': 1.5309220552444458, 'test_acc': 0.6600000262260437}
{'fold': 5, 'epoch': 10, 'train_loss': 1.917362093925476, 'val_loss': 1.9141849279403687, 'test_acc': 0.36000001430511475}
{'fold': 5, 'epoch': 20, 'train_loss': 1.8774045705795288, 'val_loss': 1.8780521154403687, 'test_acc': 0.3199999928474426}
{'fold': 5, 'epoch': 30, 'train_loss': 1.8120265007019043, 'val_loss': 1.8176459074020386, 'test_acc': 0.30000001192092896}
{'fold': 5, 'epoch': 40, 'train_loss': 1.7126165628433228, 'val_loss': 1.7163324356079102, 'test_acc': 0.25999999046325684}
{'fold': 5, 'epoch': 50, 'train_loss': 1.561840295791626, 'val_loss': 1.5696656703948975, 'test_acc': 0.5199999809265137}
{'fold': 6, 'epoch': 10, 'train_loss': 1.9229868650436401, 'val_loss': 1.9290437698364258, 'test_acc': 0.2857142984867096}
{'fold': 6, 'epoch': 20, 'train_loss': 1.8786307573318481, 'val_loss': 1.8886984586715698, 'test_acc': 0.30612245202064514}
{'fold': 6, 'epoch': 30, 'train_loss': 1.8077551126480103, 'val_loss': 1.8149386644363403, 'test_acc': 0.30612245202064514}
{'fold': 6, 'epoch': 40, 'train_loss': 1.6834605932235718, 'val_loss': 1.6874992847442627, 'test_acc': 0.3469387888908386}
{'fold': 6, 'epoch': 50, 'train_loss': 1.5063575506210327, 'val_loss': 1.519065499305725, 'test_acc': 0.5510203838348389}
{'fold': 7, 'epoch': 10, 'train_loss': 1.9513603448867798, 'val_loss': 1.9406790733337402, 'test_acc': 0.08163265138864517}
{'fold': 7, 'epoch': 20, 'train_loss': 1.8724135160446167, 'val_loss': 1.8633047342300415, 'test_acc': 0.30612245202064514}
{'fold': 7, 'epoch': 30, 'train_loss': 1.7392916679382324, 'val_loss': 1.7309578657150269, 'test_acc': 0.30612245202064514}
{'fold': 7, 'epoch': 40, 'train_loss': 1.591148853302002, 'val_loss': 1.5607534646987915, 'test_acc': 0.30612245202064514}
{'fold': 7, 'epoch': 50, 'train_loss': 1.437432885169983, 'val_loss': 1.3965216875076294, 'test_acc': 0.4897959232330322}
{'fold': 8, 'epoch': 10, 'train_loss': 1.958178162574768, 'val_loss': 1.9605510234832764, 'test_acc': 0.1428571492433548}
{'fold': 8, 'epoch': 20, 'train_loss': 1.9301338195800781, 'val_loss': 1.930499792098999, 'test_acc': 0.12244898080825806}
{'fold': 8, 'epoch': 30, 'train_loss': 1.8772811889648438, 'val_loss': 1.880253553390503, 'test_acc': 0.40816327929496765}
{'fold': 8, 'epoch': 40, 'train_loss': 1.798864483833313, 'val_loss': 1.791149377822876, 'test_acc': 0.5510203838348389}
{'fold': 8, 'epoch': 50, 'train_loss': 1.6523892879486084, 'val_loss': 1.6466832160949707, 'test_acc': 0.5714285969734192}
{'fold': 9, 'epoch': 10, 'train_loss': 1.8953839540481567, 'val_loss': 1.8831552267074585, 'test_acc': 0.30612245202064514}
{'fold': 9, 'epoch': 20, 'train_loss': 1.840198040008545, 'val_loss': 1.8265315294265747, 'test_acc': 0.30612245202064514}
{'fold': 9, 'epoch': 30, 'train_loss': 1.74541175365448, 'val_loss': 1.7202657461166382, 'test_acc': 0.3469387888908386}
{'fold': 9, 'epoch': 40, 'train_loss': 1.5770456790924072, 'val_loss': 1.5509428977966309, 'test_acc': 0.40816327929496765}
{'fold': 9, 'epoch': 50, 'train_loss': 1.3808850049972534, 'val_loss': 1.3476550579071045, 'test_acc': 0.5306122303009033}
Val Loss: 1.4890, Test Accuracy: 0.502 +/- 0.089, Duration: 2.673
Model(1) results: accuracy=0.502, std=0.089, n_layers=2, n_hidden=32
Best Model(1) results: accuracy=0.502, std=0.089, n_layers=2, n_hidden=32

# Evaluating model(2): n_layers=2, n_hidden=64
{'fold': 0, 'epoch': 10, 'train_loss': 1.8716089725494385, 'val_loss': 1.861263632774353, 'test_acc': 0.2800000011920929}
{'fold': 0, 'epoch': 20, 'train_loss': 1.7439930438995361, 'val_loss': 1.7348649501800537, 'test_acc': 0.2800000011920929}
{'fold': 0, 'epoch': 30, 'train_loss': 1.5196887254714966, 'val_loss': 1.4897114038467407, 'test_acc': 0.30000001192092896}
{'fold': 0, 'epoch': 40, 'train_loss': 1.1631048917770386, 'val_loss': 1.1742013692855835, 'test_acc': 0.5799999833106995}
{'fold': 0, 'epoch': 50, 'train_loss': 0.8562284111976624, 'val_loss': 0.9017812013626099, 'test_acc': 0.6399999856948853}
{'fold': 1, 'epoch': 10, 'train_loss': 1.894788146018982, 'val_loss': 1.899425983428955, 'test_acc': 0.2800000011920929}
{'fold': 1, 'epoch': 20, 'train_loss': 1.7811864614486694, 'val_loss': 1.8065462112426758, 'test_acc': 0.2800000011920929}
{'fold': 1, 'epoch': 30, 'train_loss': 1.5332603454589844, 'val_loss': 1.6230055093765259, 'test_acc': 0.46000000834465027}
{'fold': 1, 'epoch': 40, 'train_loss': 1.2214770317077637, 'val_loss': 1.3782525062561035, 'test_acc': 0.6200000047683716}
{'fold': 1, 'epoch': 50, 'train_loss': 0.8968037366867065, 'val_loss': 1.1182584762573242, 'test_acc': 0.699999988079071}
{'fold': 2, 'epoch': 10, 'train_loss': 1.8930542469024658, 'val_loss': 1.8929071426391602, 'test_acc': 0.36000001430511475}
{'fold': 2, 'epoch': 20, 'train_loss': 1.7853150367736816, 'val_loss': 1.7825286388397217, 'test_acc': 0.2800000011920929}
{'fold': 2, 'epoch': 30, 'train_loss': 1.5352998971939087, 'val_loss': 1.5715609788894653, 'test_acc': 0.2800000011920929}
{'fold': 2, 'epoch': 40, 'train_loss': 1.2223159074783325, 'val_loss': 1.2944613695144653, 'test_acc': 0.6800000071525574}
{'fold': 2, 'epoch': 50, 'train_loss': 0.8375922441482544, 'val_loss': 0.9807033538818359, 'test_acc': 0.7200000286102295}
{'fold': 3, 'epoch': 10, 'train_loss': 1.8969131708145142, 'val_loss': 1.8943240642547607, 'test_acc': 0.3199999928474426}
{'fold': 3, 'epoch': 20, 'train_loss': 1.7670625448226929, 'val_loss': 1.7581334114074707, 'test_acc': 0.2800000011920929}
{'fold': 3, 'epoch': 30, 'train_loss': 1.558618426322937, 'val_loss': 1.542403221130371, 'test_acc': 0.2800000011920929}
{'fold': 3, 'epoch': 40, 'train_loss': 1.2286431789398193, 'val_loss': 1.2515641450881958, 'test_acc': 0.5799999833106995}
{'fold': 3, 'epoch': 50, 'train_loss': 0.8791016936302185, 'val_loss': 0.94728684425354, 'test_acc': 0.6600000262260437}
{'fold': 4, 'epoch': 10, 'train_loss': 1.8858952522277832, 'val_loss': 1.8876417875289917, 'test_acc': 0.2800000011920929}
{'fold': 4, 'epoch': 20, 'train_loss': 1.7817761898040771, 'val_loss': 1.7976757287979126, 'test_acc': 0.2800000011920929}
{'fold': 4, 'epoch': 30, 'train_loss': 1.5758072137832642, 'val_loss': 1.6371885538101196, 'test_acc': 0.3199999928474426}
{'fold': 4, 'epoch': 40, 'train_loss': 1.3059512376785278, 'val_loss': 1.4284770488739014, 'test_acc': 0.5199999809265137}
{'fold': 4, 'epoch': 50, 'train_loss': 0.9889576435089111, 'val_loss': 1.2418924570083618, 'test_acc': 0.6800000071525574}
{'fold': 5, 'epoch': 10, 'train_loss': 1.9233219623565674, 'val_loss': 1.923904299736023, 'test_acc': 0.11999999731779099}
{'fold': 5, 'epoch': 20, 'train_loss': 1.8254245519638062, 'val_loss': 1.8325834274291992, 'test_acc': 0.5600000023841858}
{'fold': 5, 'epoch': 30, 'train_loss': 1.5629687309265137, 'val_loss': 1.6001070737838745, 'test_acc': 0.5600000023841858}
{'fold': 5, 'epoch': 40, 'train_loss': 1.222904086112976, 'val_loss': 1.2506352663040161, 'test_acc': 0.6200000047683716}
{'fold': 5, 'epoch': 50, 'train_loss': 0.8163616061210632, 'val_loss': 0.896298348903656, 'test_acc': 0.7799999713897705}
{'fold': 6, 'epoch': 10, 'train_loss': 1.9058010578155518, 'val_loss': 1.9029779434204102, 'test_acc': 0.3469387888908386}
{'fold': 6, 'epoch': 20, 'train_loss': 1.7889527082443237, 'val_loss': 1.7932190895080566, 'test_acc': 0.3265306055545807}
{'fold': 6, 'epoch': 30, 'train_loss': 1.5336723327636719, 'val_loss': 1.5742322206497192, 'test_acc': 0.3877550959587097}
{'fold': 6, 'epoch': 40, 'train_loss': 1.2076085805892944, 'val_loss': 1.238508701324463, 'test_acc': 0.6938775777816772}
{'fold': 6, 'epoch': 50, 'train_loss': 0.8556385636329651, 'val_loss': 0.884433388710022, 'test_acc': 0.7346938848495483}
{'fold': 7, 'epoch': 10, 'train_loss': 1.9027124643325806, 'val_loss': 1.9038752317428589, 'test_acc': 0.26530611515045166}
{'fold': 7, 'epoch': 20, 'train_loss': 1.8079807758331299, 'val_loss': 1.797237515449524, 'test_acc': 0.5306122303009033}
{'fold': 7, 'epoch': 30, 'train_loss': 1.557473063468933, 'val_loss': 1.5520360469818115, 'test_acc': 0.5306122303009033}
{'fold': 7, 'epoch': 40, 'train_loss': 1.2091909646987915, 'val_loss': 1.194883942604065, 'test_acc': 0.6938775777816772}
{'fold': 7, 'epoch': 50, 'train_loss': 0.862131655216217, 'val_loss': 0.8932512402534485, 'test_acc': 0.7346938848495483}
{'fold': 8, 'epoch': 10, 'train_loss': 1.9301247596740723, 'val_loss': 1.9201765060424805, 'test_acc': 0.16326530277729034}
{'fold': 8, 'epoch': 20, 'train_loss': 1.8453052043914795, 'val_loss': 1.8167072534561157, 'test_acc': 0.18367347121238708}
{'fold': 8, 'epoch': 30, 'train_loss': 1.6744327545166016, 'val_loss': 1.6193476915359497, 'test_acc': 0.4285714328289032}
{'fold': 8, 'epoch': 40, 'train_loss': 1.3936563730239868, 'val_loss': 1.351662039756775, 'test_acc': 0.5918367505073547}
{'fold': 8, 'epoch': 50, 'train_loss': 1.0660725831985474, 'val_loss': 1.0584608316421509, 'test_acc': 0.7346938848495483}
{'fold': 9, 'epoch': 10, 'train_loss': 1.9060980081558228, 'val_loss': 1.8965336084365845, 'test_acc': 0.30612245202064514}
{'fold': 9, 'epoch': 20, 'train_loss': 1.8285884857177734, 'val_loss': 1.8064782619476318, 'test_acc': 0.3265306055545807}
{'fold': 9, 'epoch': 30, 'train_loss': 1.635602593421936, 'val_loss': 1.587965965270996, 'test_acc': 0.44897958636283875}
{'fold': 9, 'epoch': 40, 'train_loss': 1.3028638362884521, 'val_loss': 1.26738440990448, 'test_acc': 0.5714285969734192}
{'fold': 9, 'epoch': 50, 'train_loss': 0.9620396494865417, 'val_loss': 0.9484880566596985, 'test_acc': 0.7346938848495483}
Val Loss: 0.9871, Test Accuracy: 0.712 +/- 0.042, Duration: 3.387
Model(2) results: accuracy=0.712, std=0.042, n_layers=2, n_hidden=64
Best Model(2) results: accuracy=0.712, std=0.042, n_layers=2, n_hidden=64

# Evaluating model(3): n_layers=2, n_hidden=128
{'fold': 0, 'epoch': 10, 'train_loss': 1.8466190099716187, 'val_loss': 1.8417104482650757, 'test_acc': 0.2800000011920929}
{'fold': 0, 'epoch': 20, 'train_loss': 1.59814453125, 'val_loss': 1.5911204814910889, 'test_acc': 0.2800000011920929}
{'fold': 0, 'epoch': 30, 'train_loss': 1.1213324069976807, 'val_loss': 1.1386772394180298, 'test_acc': 0.5600000023841858}
{'fold': 0, 'epoch': 40, 'train_loss': 0.6505936980247498, 'val_loss': 0.7965056896209717, 'test_acc': 0.699999988079071}
{'fold': 0, 'epoch': 50, 'train_loss': 0.3176746070384979, 'val_loss': 0.6872637867927551, 'test_acc': 0.7599999904632568}
{'fold': 1, 'epoch': 10, 'train_loss': 1.851187825202942, 'val_loss': 1.8615977764129639, 'test_acc': 0.2800000011920929}
{'fold': 1, 'epoch': 20, 'train_loss': 1.556353211402893, 'val_loss': 1.6338268518447876, 'test_acc': 0.30000001192092896}
{'fold': 1, 'epoch': 30, 'train_loss': 1.0131880044937134, 'val_loss': 1.22972571849823, 'test_acc': 0.699999988079071}
{'fold': 1, 'epoch': 40, 'train_loss': 0.521195650100708, 'val_loss': 0.9992610216140747, 'test_acc': 0.800000011920929}
{'fold': 1, 'epoch': 50, 'train_loss': 0.27732279896736145, 'val_loss': 1.00734281539917, 'test_acc': 0.800000011920929}
{'fold': 2, 'epoch': 10, 'train_loss': 1.8466243743896484, 'val_loss': 1.8308709859848022, 'test_acc': 0.30000001192092896}
{'fold': 2, 'epoch': 20, 'train_loss': 1.5194977521896362, 'val_loss': 1.553501009941101, 'test_acc': 0.3400000035762787}
{'fold': 2, 'epoch': 30, 'train_loss': 0.9823443293571472, 'val_loss': 1.119306206703186, 'test_acc': 0.7599999904632568}
{'fold': 2, 'epoch': 40, 'train_loss': 0.5808493494987488, 'val_loss': 0.7502138614654541, 'test_acc': 0.800000011920929}
{'fold': 2, 'epoch': 50, 'train_loss': 0.2929801046848297, 'val_loss': 0.574159562587738, 'test_acc': 0.8199999928474426}
{'fold': 3, 'epoch': 10, 'train_loss': 1.8627229928970337, 'val_loss': 1.8578184843063354, 'test_acc': 0.2800000011920929}
{'fold': 3, 'epoch': 20, 'train_loss': 1.5646295547485352, 'val_loss': 1.567841649055481, 'test_acc': 0.3799999952316284}
{'fold': 3, 'epoch': 30, 'train_loss': 1.0692615509033203, 'val_loss': 1.0948976278305054, 'test_acc': 0.5600000023841858}
{'fold': 3, 'epoch': 40, 'train_loss': 0.6130704879760742, 'val_loss': 0.7117310166358948, 'test_acc': 0.7400000095367432}
{'fold': 3, 'epoch': 50, 'train_loss': 0.31646639108657837, 'val_loss': 0.5194874405860901, 'test_acc': 0.7400000095367432}
{'fold': 4, 'epoch': 10, 'train_loss': 1.8769043684005737, 'val_loss': 1.8779728412628174, 'test_acc': 0.36000001430511475}
{'fold': 4, 'epoch': 20, 'train_loss': 1.5992096662521362, 'val_loss': 1.65433931350708, 'test_acc': 0.2800000011920929}
{'fold': 4, 'epoch': 30, 'train_loss': 1.1217857599258423, 'val_loss': 1.2677278518676758, 'test_acc': 0.800000011920929}
{'fold': 4, 'epoch': 40, 'train_loss': 0.6194660663604736, 'val_loss': 0.9430410265922546, 'test_acc': 0.8399999737739563}
{'fold': 4, 'epoch': 50, 'train_loss': 0.30728670954704285, 'val_loss': 0.8618268370628357, 'test_acc': 0.8600000143051147}
{'fold': 5, 'epoch': 10, 'train_loss': 1.8385218381881714, 'val_loss': 1.8403292894363403, 'test_acc': 0.2800000011920929}
{'fold': 5, 'epoch': 20, 'train_loss': 1.5647221803665161, 'val_loss': 1.5804932117462158, 'test_acc': 0.2800000011920929}
{'fold': 5, 'epoch': 30, 'train_loss': 1.1290698051452637, 'val_loss': 1.1581958532333374, 'test_acc': 0.6399999856948853}
{'fold': 5, 'epoch': 40, 'train_loss': 0.6976423263549805, 'val_loss': 0.8169170618057251, 'test_acc': 0.7200000286102295}
{'fold': 5, 'epoch': 50, 'train_loss': 0.38414737582206726, 'val_loss': 0.6307023763656616, 'test_acc': 0.7799999713897705}
{'fold': 6, 'epoch': 10, 'train_loss': 1.8397547006607056, 'val_loss': 1.8323060274124146, 'test_acc': 0.30612245202064514}
{'fold': 6, 'epoch': 20, 'train_loss': 1.5360400676727295, 'val_loss': 1.522755742073059, 'test_acc': 0.3877550959587097}
{'fold': 6, 'epoch': 30, 'train_loss': 1.0058610439300537, 'val_loss': 1.0380854606628418, 'test_acc': 0.7346938848495483}
{'fold': 6, 'epoch': 40, 'train_loss': 0.5737941265106201, 'val_loss': 0.6524546146392822, 'test_acc': 0.795918345451355}
{'fold': 6, 'epoch': 50, 'train_loss': 0.3167349100112915, 'val_loss': 0.5399743914604187, 'test_acc': 0.7755101919174194}
{'fold': 7, 'epoch': 10, 'train_loss': 1.8760136365890503, 'val_loss': 1.861183524131775, 'test_acc': 0.30612245202064514}
{'fold': 7, 'epoch': 20, 'train_loss': 1.6160911321640015, 'val_loss': 1.6004029512405396, 'test_acc': 0.30612245202064514}
{'fold': 7, 'epoch': 30, 'train_loss': 1.0999701023101807, 'val_loss': 1.1242040395736694, 'test_acc': 0.6734693646430969}
{'fold': 7, 'epoch': 40, 'train_loss': 0.5577645301818848, 'val_loss': 0.6927812695503235, 'test_acc': 0.7346938848495483}
{'fold': 7, 'epoch': 50, 'train_loss': 0.2787712514400482, 'val_loss': 0.5722061991691589, 'test_acc': 0.8163265585899353}
{'fold': 8, 'epoch': 10, 'train_loss': 1.86344575881958, 'val_loss': 1.8388266563415527, 'test_acc': 0.30612245202064514}
{'fold': 8, 'epoch': 20, 'train_loss': 1.5647047758102417, 'val_loss': 1.532370686531067, 'test_acc': 0.30612245202064514}
{'fold': 8, 'epoch': 30, 'train_loss': 1.0429348945617676, 'val_loss': 1.0617491006851196, 'test_acc': 0.7755101919174194}
{'fold': 8, 'epoch': 40, 'train_loss': 0.5240996479988098, 'val_loss': 0.6951908469200134, 'test_acc': 0.8163265585899353}
