Compose([
  RemoveDuplicatedEdges(),
  RemoveIsolatedNodes(),
  GCNNorm(add_self_loops=True)
])
(2480, 1390)
# Run(107):
	cv_params={'layer': [2], 'hidden': [256], 'net': [<class 'models.GCNConv'>], 'lr': [0.01], 'epoch': [3000]},
	lr_decay=0.5,
	decay_steps=50,
	weight_decay=0.0005,
	n_folds=5,

# Evaluating model(0): {'epoch': 3000, 'hidden': 256, 'layer': 2, 'lr': 0.01, 'net': <class 'models.GCNConv'>}
{'fold': 0, 'epoch': 950, 'train_loss': 0.002839779481291771, 'val_loss': 1.2316298484802246, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 1000, 'train_loss': 0.002463946584612131, 'val_loss': 1.2316296100616455, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 1050, 'train_loss': 0.002465276513248682, 'val_loss': 1.2316290140151978, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 1100, 'train_loss': 0.001964423106983304, 'val_loss': 1.2316287755966187, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 1150, 'train_loss': 0.001987080555409193, 'val_loss': 1.2316287755966187, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 1200, 'train_loss': 0.0019306978210806847, 'val_loss': 1.2316288948059082, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 1250, 'train_loss': 0.002368010114878416, 'val_loss': 1.2316288948059082, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 1300, 'train_loss': 0.002292478224262595, 'val_loss': 1.2316288948059082, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 1350, 'train_loss': 0.00213409005664289, 'val_loss': 1.2316288948059082, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 1400, 'train_loss': 0.0029982852283865213, 'val_loss': 1.2316288948059082, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 1450, 'train_loss': 0.0020629167556762695, 'val_loss': 1.2316288948059082, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 1500, 'train_loss': 0.002700274810194969, 'val_loss': 1.2316288948059082, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 1550, 'train_loss': 0.0023352366406470537, 'val_loss': 1.2316288948059082, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 1600, 'train_loss': 0.0018232193542644382, 'val_loss': 1.2316288948059082, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 1650, 'train_loss': 0.0022766946349292994, 'val_loss': 1.2316288948059082, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 1700, 'train_loss': 0.002673037350177765, 'val_loss': 1.2316288948059082, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 1750, 'train_loss': 0.0024983854964375496, 'val_loss': 1.2316288948059082, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 1800, 'train_loss': 0.0016027283854782581, 'val_loss': 1.2316288948059082, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 1850, 'train_loss': 0.001998299267143011, 'val_loss': 1.2316288948059082, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 1900, 'train_loss': 0.003158980282023549, 'val_loss': 1.2316288948059082, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 1950, 'train_loss': 0.0026859876234084368, 'val_loss': 1.2316288948059082, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 2000, 'train_loss': 0.0027400038670748472, 'val_loss': 1.2316288948059082, 'test_acc': 0.7900000214576721}
{'fold': 0, 'epoch': 2050, 'train_loss': 0.0027573693078011274, 'val_loss': 1.2316288948059082, 'test_acc': 0.7900000214576721}
